GPA,Help
3.17,1
3.9,1
2.75,0
2.21,0
3.62,1
1.45,1
3.99,1
2.03,0
2.35,1
1.91,0
1.02,0
1.92,0
3.14,1
3.79,1
2.69,0
1.71,1
2.77,1
2.85,0
1.29,0
1.19,1
2.66,0
2.15,0
1.68,0
1.41,1
3.24,1
3.91,1
2.92,0
1.08,1
3.59,0
1.66,1
3.07,1
0.27,0
3.23,1
3.22,1
3.09,1
1.99,0
1.92,0
2.06,1
0.7,1
0.43,1
1.67,1
0.19,0
1.33,0
0.73,1
1.92,1
3.38,0
1.97,0
0.71,1
3.9,1
2.34,1
0.52,1
3.44,1
2.32,0
3.19,0
2.54,1
0.95,0
3.84,0
1.82,0
2.89,0
2.48,1
2.4,0
3.33,0
1.98,1
3.29,0
2.21,0
2.33,0
1.9,0
0.91,1
3.11,0
2.38,0
1.26,0
0.57,0
1.22,1
1.43,1
3.71,0
2.83,0
1.33,0
3.15,0
0.88,0
1.35,1
2.68,0
3.8,1
1.13,0
1.34,1
1.02,1
2.36,0
0.58,1
1.14,1
3.34,0
2.83,0
2.33,1
1.77,0
1.2,1
3.49,0
0.6,1
0.16,0
1.56,0
3.21,1
2.75,0
3.27,1
